Games: 3043, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45111, Epsilon: 0.01
Games: 3044, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45123, Epsilon: 0.01
Games: 3045, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45133, Epsilon: 0.01
Games: 3046, AI: 10, Random: 1, Percentage: 91, Reward: 11, Steps: 45144, Epsilon: 0.01
Games: 3047, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45153, Epsilon: 0.01
Games: 3048, AI: 8, Random: 0, Percentage: 100, Reward: 8, Steps: 45161, Epsilon: 0.01
Games: 3049, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45171, Epsilon: 0.01
Games: 3050, AI: 8, Random: 1, Percentage: 89, Reward: 9, Steps: 45180, Epsilon: 0.01
Games: 3051, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45189, Epsilon: 0.01
Games: 3052, AI: 9, Random: 1, Percentage: 90, Reward: 10, Steps: 45199, Epsilon: 0.01
Games: 3053, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45210, Epsilon: 0.01
Games: 3054, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45219, Epsilon: 0.01
Games: 3055, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 45231, Epsilon: 0.01
Games: 3056, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45240, Epsilon: 0.01
Games: 3057, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45250, Epsilon: 0.01
Games: 3058, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45260, Epsilon: 0.01
Games: 3059, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45270, Epsilon: 0.01
Games: 3060, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45280, Epsilon: 0.01
Games: 3061, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45290, Epsilon: 0.01
Games: 3062, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45299, Epsilon: 0.01
Games: 3063, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45310, Epsilon: 0.01
Games: 3064, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45321, Epsilon: 0.01
Games: 3065, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45330, Epsilon: 0.01
Games: 3066, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45341, Epsilon: 0.01
Games: 3067, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45350, Epsilon: 0.01
Games: 3068, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45360, Epsilon: 0.01
Games: 3069, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45371, Epsilon: 0.01
Games: 3070, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45380, Epsilon: 0.01
Games: 3071, AI: 11, Random: 1, Percentage: 92, Reward: 12, Steps: 45392, Epsilon: 0.01
Games: 3072, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 45402, Epsilon: 0.01
Games: 3073, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 45411, Epsilon: 0.01
Games: 3074, AI: 12, Random: 1, Percentage: 92, Reward: 13, Steps: 45424, Epsilon: 0.01
Games: 3075, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 45435, Epsilon: 0.01
